replicate,delta1,delta2,determinant
173,0.9614500174106604,0.934038498136603,1.0000000000000002
174,0.9494680141017177,0.9178765814462038,1.0
175,0.944725354336622,0.9506560879276451,1.0
176,0.9651480995609397,0.9117402447080202,1.0000000000000002
177,0.9604873593875676,0.9579271647082704,0.9999999999999998
178,0.9581938873845957,0.9129939893768891,0.9999999999999997
179,0.94662951689186,0.9135729775744897,0.9999999999999998
180,0.9501306232422174,0.924870276957201,1.0000000000000002
181,0.9512978399959459,0.9248592191287937,1.0
182,0.9534797609730996,0.9381417860538072,1.0000000000000004
183,0.9517827094699515,0.9237537370966201,1.0000000000000007
184,0.9529102806185616,0.9182866004598188,1.0000000000000002
185,0.9515723241837658,0.9246054980609191,1.0000000000000007
186,0.9433402492103141,0.922635523165027,0.9999999999999992
187,0.9466802068185702,0.9425851674586405,0.9999999999999998
188,0.9556807981109937,0.9288127183692235,0.9999999999999998
189,0.9575081909323969,0.9142063513179614,0.9999999999999997
190,0.9683256168568785,0.9373200882328804,0.9999999999999998
191,0.9498427409163219,0.9129016483776339,1.0000000000000002
192,0.9499319751937777,0.9241863673279846,0.9999999999999998
193,0.9644329048929242,0.9260954847036041,1.0000000000000002
194,0.9566227781481397,0.9417014366535409,0.9999999999999989
195,0.9629475759651428,0.9374610699468852,1.0
196,0.9428914578805948,0.9078539335870127,0.9999999999999998
197,0.9489899725564902,0.9426189701737437,1.0000000000000004
198,0.9502631587559945,0.9483288681713796,0.9999999999999994
199,0.9456285139732716,0.9283369485025499,0.9999999999999991
200,0.9539192979311643,0.9191994836063385,1.0000000000000002
