party,target,period,n,median_d1,q25,q75,replicate
PC,P1,17,8,-0.8685166333962768,-0.8717619179396469,-0.8536698932850919,96
PC,P2,20,8,-0.8700829183060678,-0.8751407757695228,-0.861727325497105,96
PC,P3,24,8,-0.8906877182561562,-0.8958866684172765,-0.8687531082372884,96
PCS,P2,20,2,-0.8390165516415629,-0.8399190553352238,-0.8381140479479019,96
PCS,P3,24,1,-0.8550601380193055,-0.8550601380193055,-0.8550601380193055,96
PEV,P1,17,1,-0.9065429995123936,-0.9065429995123936,-0.9065429995123936,96
PEV,P2,20,1,-0.9167044466146768,-0.9167044466146768,-0.9167044466146768,96
PEV,P3,24,1,-0.9302530427510551,-0.9302530427510551,-0.9302530427510551,96
PH,P1,17,3,-0.923515050650109,-0.9562430604413239,-0.9224328796878836,96
PH,P2,20,2,-0.9343531103759803,-0.9503790565629417,-0.918327164189019,96
PH,P3,24,2,-0.9502467512934427,-0.9869191784215358,-0.9135743241653497,96
PPD,P1,17,6,-0.6207166434655587,-0.6990670425672905,-0.5924485751842427,96
PPD,P2,20,7,-0.6132677154425676,-0.6885104514290268,-0.5707949345672082,96
PPD,P3,24,7,-0.6548517010981355,-0.7053255413367324,-0.6165821635038111,96
PR,P1,17,6,-0.36185192977338143,-0.4832479393077172,-0.24532147742818788,96
PR,P2,20,6,-0.30252397749069854,-0.46581637550995836,-0.1404542656574433,96
PR,P3,24,6,-0.20880661090273317,-0.4582432595225704,0.00042422223545151433,96
PREP,P3,24,1,0.9240963903717656,0.9240963903717656,0.9240963903717656,96
PRI,P1,17,1,-0.721865321083494,-0.721865321083494,-0.721865321083494,96
PRI,P2,20,1,-0.7079762392889465,-0.7079762392889465,-0.7079762392889465,96
PRI,P3,24,1,-0.6894574635628834,-0.6894574635628834,-0.6894574635628834,96
PRO,P2,20,1,-0.8639607519010375,-0.8639607519010375,-0.8639607519010375,96
PRO,P3,24,1,-0.8643557792862046,-0.8643557792862046,-0.8643557792862046,96
PS,P1,17,18,-0.6729444946483035,-0.7049797442551209,-0.6249599002224675,96
PS,P2,20,18,-0.6713550524231034,-0.6920233073834308,-0.6256692619959181,96
PS,P3,24,18,-0.6613647827905432,-0.689465166652703,-0.6097839720050384,96
RD,P1,17,8,-0.7738289611328375,-0.7785675544083297,-0.7657755334740093,96
RD,P2,20,10,-0.783776481589112,-0.7957883328029381,-0.7552157310876397,96
RD,P3,24,10,-0.8080545281289736,-0.8239857476553349,-0.7527192683630979,96
RN,P1,17,34,0.7025011356660271,0.6255821010252662,0.7471536757929343,96
RN,P2,20,36,0.6611442620228872,0.6020546671730093,0.7093877476784094,96
RN,P3,24,33,0.6013895718837747,0.4834851464209373,0.667151623348395,96
UDI,P1,17,30,0.7207723992098762,0.6461182443976443,0.7844123730698044,96
UDI,P2,20,31,0.6988050083334134,0.6178378286695801,0.8103722853283339,96
UDI,P3,24,30,0.6710819354578639,0.5623350048133643,0.8276490618095863,96
