replicate,log_likelihood,beta,w2,classification_pct,valid_votes,iterations,converged,final_ll_improvement,elapsed_seconds,which,seconds_seeds,seconds_engine
138,-64819.87203409691,4.783261837204674,0.52925396930306,93.814,436796.0,4.0,0.0,618.951383498294,137.08,replicate,257.1,137.3
139,-63782.44651391841,4.741971100753102,0.530157436560503,93.8696,434901.0,4.0,0.0,710.690649346165,136.96,replicate,256.5,137.2
140,-64609.90715051117,4.79866734659344,0.535728591249841,93.8137,435961.0,4.0,0.0,459.441346085514,137.47,replicate,259.1,137.7
141,-64838.338694893646,4.843703906852738,0.525784602716091,93.7777,436381.0,4.0,0.0,686.717603810459,136.43,replicate,254.5,136.7
142,-63968.6875429494,4.768023744178126,0.533724587160706,93.866,436875.0,4.0,0.0,666.002473963905,136.03,replicate,249.4,136.2
143,-64943.05474121004,4.746616851531728,0.528958350314461,93.8132,435202.0,4.0,0.0,838.516483012747,136.23,replicate,245.4,136.5
144,-64474.937689151244,4.756146693580494,0.539982951759542,93.8062,436195.0,4.0,0.0,810.158016924848,135.38,replicate,248.7,135.6
145,-64094.61177393618,4.803709490572514,0.531186531648464,93.8108,434437.0,4.0,0.0,747.777784724392,139.84,replicate,248.8,140.1
146,-65017.09912391243,4.748542082509996,0.534673272765744,93.7691,436387.0,4.0,0.0,795.216014952224,135.07,replicate,242.7,135.3
147,-64194.033068509576,4.817574698106346,0.527963141058334,93.8173,436106.0,4.0,0.0,742.65165876504,147.34,replicate,241.4,147.6
148,-65207.57662421203,4.739526496906418,0.533504804960969,93.7906,437867.0,4.0,0.0,823.68062013817,137.04,replicate,242.3,137.3
149,-63816.92860975998,4.830389076302001,0.532562347542574,93.8952,436245.0,4.0,0.0,643.539266854685,134.78,replicate,243.5,135.0
150,-64434.69850884496,4.773117798872422,0.529552095670405,93.8276,436689.0,4.0,0.0,784.90424307483,134.94,replicate,243.6,135.2
151,-64468.19944200173,4.754364691808118,0.525948526677061,93.8374,435220.0,4.0,0.0,684.371957382558,133.82,replicate,241.4,134.0
152,-64701.25988617629,4.789335613897365,0.531690331759407,93.7939,436892.0,4.0,0.0,580.935938136696,134.82,replicate,246.3,135.0
153,-64863.635980982624,4.771149582661536,0.523457503167831,93.8034,436575.0,4.0,0.0,865.86905531364,150.59,replicate,251.8,150.8
154,-64258.55009701307,4.841348286296071,0.5365288346418,93.8616,436840.0,4.0,0.0,640.752375722732,144.11,replicate,252.5,144.4
155,-64249.06491631185,4.75138546949281,0.528537037267665,93.8813,437759.0,4.0,0.0,772.377130364082,144.21,replicate,253.3,144.5
156,-64459.48969774457,4.777200300721875,0.529863168590281,93.8288,435606.0,4.0,0.0,805.83399345474,142.75,replicate,251.3,143.0
157,-64502.84984283597,4.774769110440486,0.524383609462668,93.8297,435703.0,4.0,0.0,672.4481243747,153.15,replicate,247.7,153.4
158,-65006.2631514147,4.723197506101148,0.532822928010812,93.742,436404.0,4.0,0.0,704.147115737454,153.49,replicate,252.9,153.7
159,-64236.42997612421,4.756218934935489,0.534593354690064,93.8486,436194.0,4.0,0.0,1073.484232503433,153.89,replicate,249.0,154.1
160,-64732.117567919704,4.714596841036895,0.528052322850826,93.8449,436693.0,4.0,0.0,620.800893334686,155.57,replicate,254.7,155.8
161,-64373.062181735004,4.773244725476494,0.528856082406216,93.8449,436747.0,4.0,0.0,727.369234122983,138.39,replicate,251.3,138.6
162,-64343.11383834945,4.741305307396393,0.536583678375273,93.8097,434796.0,4.0,0.0,717.689440234411,137.21,replicate,249.9,137.4
163,-65114.547197324784,4.806086073936513,0.528785156196903,93.7328,436370.0,4.0,0.0,697.862839385481,138.24,replicate,251.0,138.5
164,-64871.71957165559,4.693728719593906,0.528891284850855,93.8027,437011.0,4.0,0.0,642.161896842525,138.61,replicate,255.8,138.8
165,-64092.391896292254,4.808702231196478,0.532672678793967,93.8578,436065.0,4.0,0.0,732.647666563549,136.29,replicate,244.9,136.5
166,-64481.30290309269,4.812101220351598,0.528033134707175,93.8402,436651.0,4.0,0.0,693.798754441916,136.69,replicate,250.1,136.9
167,-64794.18541020625,4.77579695548056,0.5348290118232,93.7968,435403.0,4.0,0.0,657.009447053817,136.61,replicate,246.4,136.8
168,-64727.87248218968,4.815342400367734,0.529724594316676,93.8451,436710.0,4.0,0.0,672.760041333655,135.87,replicate,248.2,136.1
169,-64894.22619152918,4.802483630905047,0.526219691804895,93.7697,436447.0,4.0,0.0,539.242838479578,135.51,replicate,243.2,135.7
170,-64205.53378340477,4.794592759615901,0.526626530396746,93.8512,436690.0,4.0,0.0,732.708330122477,135.3,replicate,243.8,135.5
171,-65321.07728658816,4.730150971239735,0.533911187845575,93.6888,435560.0,4.0,0.0,697.85000175779,135.1,replicate,246.4,135.3
172,-64141.40547489631,4.775813457778154,0.524227302540698,93.8741,436032.0,4.0,0.0,582.185310606568,135.15,replicate,244.2,135.4
173,-64413.97649013721,4.74094941328221,0.530514843214118,93.8534,437250.0,4.0,0.0,658.615467697011,143.8,replicate,249.3,144.0
174,-65114.242054526745,4.742547941262404,0.532730100177445,93.8272,438246.0,4.0,0.0,571.895400862246,145.64,replicate,249.2,145.9
