replicate,anchor_rows,determinant,rotation_degrees,alignment_rmse
172,3265.0,0.9999999999999999,2.2942746628059627,0.10296543031122239
173,3265.0,1.0000000000000002,1.6899195129737492,0.10713796734321922
174,3265.0,1.0,2.375448585249835,0.10684394684920798
175,3265.0,1.0,1.4524484536646103,0.09843936458123702
176,3265.0,1.0000000000000002,2.2178700594513234,0.10573753890627047
177,3265.0,0.9999999999999998,0.5368398215965478,0.09400478459576399
178,3265.0,0.9999999999999997,2.6913016284990925,0.10788094345941467
179,3265.0,0.9999999999999998,1.9313524306845407,0.10818477646842006
180,3265.0,1.0000000000000002,1.676364509034803,0.10614580090902373
181,3265.0,1.0,2.240205968035422,0.10718803766187053
182,3265.0,1.0000000000000004,1.7408494504810206,0.10068415337653151
