801,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
802,9,1,1,1,6,9,6,9,9,1,9,9,1,1,1,6,1,9,9,9,1,9,1,1,1
803,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
804,9,9,9,9,9,9,9,9,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1
805,1,9,9,1,9,9,1,1,9,9,6,1,9,9,9,9,9,9,9,9,9,9,6,1,1
806,9,6,9,1,1,9,1,6,1,9,6,1,1,6,1,1,1,9,1,1,1,1,1,1,1
807,1,6,6,1,9,1,1,9,1,9,9,1,1,9,9,9,9,9,1,1,1,9,6,1,1
808,6,1,1,1,1,1,9,9,1,1,1,1,1,1,6,6,1,1,1,9,1,6,1,1,1
809,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
810,1,6,1,1,1,9,9,6,1,9,9,9,1,1,1,6,1,1,9,1,1,9,1,1,1
811,1,6,6,1,1,1,1,9,1,1,9,1,1,6,1,1,1,6,1,9,9,1,9,1,1
812,9,6,6,1,1,9,1,9,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1
813,1,1,6,1,9,1,1,9,1,1,1,1,1,9,9,9,9,9,1,9,9,9,9,9,9
814,1,6,6,1,1,9,9,6,9,6,9,1,1,9,9,9,9,6,1,1,9,1,1,1,1
815,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
816,1,1,1,1,1,1,1,9,1,1,1,1,1,1,6,6,1,1,1,1,1,9,1,1,1
817,6,1,1,1,6,9,6,9,1,9,1,1,1,1,1,6,9,9,1,9,9,9,9,9,9
818,1,9,6,1,9,9,9,9,9,1,1,1,1,9,9,9,9,9,9,1,1,9,6,1,1
819,9,9,9,9,9,9,1,9,9,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
820,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
821,1,6,6,1,1,9,1,9,1,9,6,1,1,9,1,1,1,1,1,1,9,1,6,1,1
822,1,6,6,1,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,1,9,6,1,1
823,1,6,6,1,9,1,1,9,9,9,6,1,1,6,1,1,1,1,9,9,9,1,6,1,1
824,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
825,1,1,6,1,1,9,1,6,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
826,9,6,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
827,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
828,1,6,6,1,9,1,1,1,9,1,9,9,1,9,9,9,9,9,1,1,1,1,6,1,1
829,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
830,9,6,6,1,1,1,1,9,1,1,6,1,1,6,1,1,1,9,9,1,1,1,6,1,1
831,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
832,1,1,1,1,1,9,9,9,1,9,1,1,9,9,9,9,9,1,9,1,9,6,1,1,1
833,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
834,1,1,6,1,9,9,9,9,9,1,1,1,1,9,1,1,1,1,9,1,1,1,9,9,1
835,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
836,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
837,9,9,9,9,1,1,6,1,9,1,1,1,1,1,6,6,1,1,9,1,1,6,1,1,1
838,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
