cohort,party,target_a,target_b,n_a,n_b,median_a,median_b,observed_delta,successful_replicates,enough_replicates,bootstrap_mean_delta,bootstrap_bias,absolute_bias_over_absolute_delta,bootstrap_se,bootstrap_se_mcse_approx,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper,proportion_negative,proportion_positive,one_sided_basic_upper,one_sided_percentile_upper,p_left_centered_bootstrap,p_two_sided_centered_bootstrap,eligible_party,primary_hypothesis,percentile_direction,p_left_holm_within_family,negative_supported_basic,negative_supported_percentile,robust_negative
full,COMUNES,P2,P3,1,1,-0.839725677005907,-0.828296659615552,0.011429017390354956,999,True,0.054415910115395094,0.04298689272504014,3.761206344940654,0.02794798293429623,0.0006255617716165789,0.0011698289891187341,0.10943998508215558,-0.08658195030144566,0.02168820579159118,0.023023023023023025,0.9769769769769769,0.013705296537048547,0.10107677892260178,0.127,0.897,False,False,right,,False,False,False
full,DC,P2,P3,14,14,-0.1715803064734725,-0.34047036430029454,-0.16889005782682204,999,True,-0.14756091487161954,0.021329142955202496,0.12629010392709533,0.027609802594623773,0.00061799225603083,-0.1995364275281962,-0.08801859332111392,-0.24976152233253016,-0.13824368812544788,1.0,0.0,-0.14778968870060222,-0.09928892111228953,0.001,0.001,True,False,left,0.01,True,True,True
full,EVOP,P2,P3,6,6,0.6751764274662135,0.689692482330625,0.014516054864411432,999,True,-0.013955044544126532,-0.028471099408537964,1.961352424916751,0.029862985217419192,0.0006684254095290714,-0.07506767988616031,0.04362459281468791,-0.014592483085865048,0.10409978961498317,0.6886886886886887,0.3113113113113113,0.09198084740094119,0.03552776014824316,0.926,0.763,True,False,inconclusive,0.962,False,False,False
full,FRVS,P2,P3,1,1,-0.639562775792681,-0.625229301774373,0.014333474018307979,999,True,0.052280353400850126,0.03794687938254215,2.647430715964116,0.026260160491413824,0.000587783116891265,0.0020925712112277077,0.10647494977255358,-0.07780800173593762,0.02657437682538825,0.023023023023023025,0.9769769769769769,0.016884010549555493,0.09336243961140675,0.185,0.839,False,False,right,,False,False,False
full,IND,P2,P3,11,11,-0.532194455682746,-0.775545381012329,-0.2433509253295829,999,True,-0.202662882524207,0.04068804280537591,0.1671990470152105,0.03014737047257965,0.0006747908257545657,-0.26210861520346207,-0.14222869665509205,-0.34447315400407374,-0.22459323545570375,1.0,0.0,-0.23648905020387798,-0.15587342267430887,0.001,0.001,True,False,left,0.01,True,True,True
full,LIBERAL,P2,P3,2,2,-0.6008448048626356,-0.6400550061777015,-0.03921020131506592,999,True,0.003783803103028135,0.042994004418094055,1.0965004763077886,0.023334713395788128,0.0005223026179152745,-0.03969693526244029,0.050210132043408816,-0.12863053467354066,-0.03872346736769155,0.43043043043043044,0.5695695695695696,-0.04432321886537647,0.04167002832109124,0.002,0.571,False,False,inconclusive,,True,False,False
full,PC,P2,P3,8,8,-0.8065372379271535,-0.9007285965413125,-0.09419135861415906,999,True,-0.050638508020664566,0.043552850593494494,0.46238690294193857,0.020305148767433435,0.00045449164849412093,-0.09076581096924087,-0.010722165387132299,-0.17766055184118582,-0.09761690625907725,0.994994994994995,0.005005005005005005,-0.10457604988597884,-0.017284503064577485,0.001,0.006,True,False,left,0.01,True,True,True
full,PCS,P2,P3,2,1,-0.7660638571094265,-0.772951210860945,-0.006887353751518499,999,True,0.032597218211956144,0.03948457196347464,5.732908949938752,0.032003175654436916,0.0007163294505657768,-0.02397646473519043,0.09437218668823193,-0.10814689419126892,0.01020175723215343,0.16716716716716717,0.8328328328328328,0.0036321936756847483,0.0866051840088243,0.063,0.895,False,False,inconclusive,,False,False,False
full,PEV,P2,P3,1,1,-0.895505235301001,-0.944396190820311,-0.04889095551931,999,True,-0.004900828661762396,0.0439901268575476,0.899760014716285,0.024560163215162502,0.0005497319519690866,-0.05332913309149996,0.043359425872890225,-0.1411413369115102,-0.044452777947120034,0.5585585585585585,0.44144144144144143,-0.05087929675628755,0.03477173983600603,0.001,0.442,False,False,inconclusive,,True,False,False
full,PH,P2,P3,2,2,-0.90519762497366,-0.9222385018021866,-0.01704087682852662,999,True,0.023779427167348915,0.04082030399587554,2.3954344841893285,0.02241531220013445,0.000501723592869652,-0.021444928491496342,0.06649571610098892,-0.10057746975804216,-0.012636825165556895,0.13713713713713713,0.8628628628628628,-0.021448465168797438,0.06089510721126539,0.006,0.868,False,False,inconclusive,,True,False,False
full,PPD,P2,P3,7,7,-0.563762217404413,-0.725096992476606,-0.16133477507219296,999,True,-0.11756098309426147,0.04377379197793149,0.27132273224011316,0.026414355953594076,0.000591234485339696,-0.16923689798885969,-0.06733845663919626,-0.2553310935051897,-0.15343265215552623,1.0,0.0,-0.1620352353546796,-0.07425827506027208,0.001,0.001,True,False,left,0.01,True,True,True
full,PR,P2,P3,6,6,-0.3028728080782735,-0.44982209157550646,-0.14694928349723296,999,True,-0.117699452648401,0.029249830848831967,0.1990471144378376,0.02601697054564301,0.0005823397783264256,-0.16883312206158665,-0.06584322710417673,-0.2280553398902892,-0.12506544493287927,1.0,0.0,-0.1337025535455445,-0.073442035230932,0.001,0.001,True,False,left,0.01,True,True,True
full,PRI,P2,P3,1,1,-0.665608703422343,-0.688840507540772,-0.023231804118428956,999,True,0.012590847095074168,0.03582265121350312,1.5419659631636744,0.02579520159355562,0.0005773759074494653,-0.038888851459640675,0.06414803121205476,-0.11061163944891267,-0.007574756777217237,0.30930930930930933,0.6906906906906907,-0.015918199509894423,0.05507774322069075,0.014,0.704,False,False,inconclusive,,True,False,False
full,PRO,P2,P3,1,1,-0.807806208531565,-0.908890778604038,-0.10108457007247296,999,True,-0.06942007153443057,0.03166449853804239,0.3132475957046699,0.02969416238852513,0.0006646466356483025,-0.1307427207995844,-0.011609575941183219,-0.1905595642037627,-0.07142641934536151,0.992992992992993,0.007007007007007007,-0.08363662000870031,-0.021624628087577803,0.001,0.008,False,False,left,,True,True,False
full,PS,P2,P3,18,18,-0.6040626547048135,-0.7041165625395276,-0.10005390783471413,999,True,-0.05782809246316511,0.04222581537154902,0.4220306461323302,0.023552303265671485,0.0005271729480857936,-0.10251793873620973,-0.011941424200334711,-0.18816639146909356,-0.09758987693321852,0.992992992992993,0.007007007007007007,-0.10292717867539967,-0.017835529906966435,0.001,0.008,True,False,left,0.01,True,True,True
