cohort,party,target,period,n,observed_median_d1,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
full,RD,P3,12,10,-0.765552460997935,999,-0.7572512234409104,0.008301237557024499,0.028130353339341507,-0.8106319544586085,-0.7008017380074423,-0.8303031839884276,-0.7204729675372614
full,RN,P1,5,34,0.68961729458574,999,0.7283974052592481,0.03878011067350817,0.01367739107456437,0.7012989865702653,0.75518655358359,0.6240480355878899,0.6779356026012145
full,RN,P2,8,36,0.6482822732682885,999,0.6856212535357152,0.03733898026742677,0.01247770305630678,0.6613764873974811,0.7093150543892655,0.5872494921473115,0.6351880591390958
full,RN,P3,12,33,0.564201830573194,999,0.6094827831012907,0.04528095252809672,0.03289783214514918,0.5431078632931867,0.6757880143028957,0.4526156468434922,0.5852957978532012
full,UDI,P1,5,30,0.7221332755509555,999,0.759995378054647,0.037862102503691486,0.014603330771550295,0.7296907006696443,0.7869330730473618,0.6573334780545492,0.7145758504322668
full,UDI,P2,8,31,0.659678026352843,999,0.7231178060834064,0.06343977973056336,0.020845013558245584,0.6824997067564155,0.7603370537899997,0.5590189989156863,0.6368563459492705
full,UDI,P3,12,30,0.6332939042030685,999,0.6725938583415302,0.03929995413846166,0.034562055489673595,0.6048132258374386,0.7401508433722529,0.5264369650338842,0.6617745825686985
balanced,COMUNES,P1,5,2,-0.825008541884477,999,-0.8838844378532085,-0.05887589596873144,0.01704246158096139,-0.9180151884062976,-0.8499851773020914,-0.8000319064668626,-0.7320018953626565
balanced,COMUNES,P2,8,1,-0.839725677005907,999,-0.8666486249527823,-0.02692294794687533,0.01975174981558454,-0.9053047979824832,-0.8287670425165451,-0.8506843114952688,-0.7741465560293307
balanced,COMUNES,P3,12,1,-0.828296659615552,999,-0.812232714837387,0.016063944778164974,0.04040148608918159,-0.8903486941978268,-0.7327166080596585,-0.9238767111714454,-0.7662446250332772
balanced,DC,P1,5,15,-0.044760456162685,999,-0.06220494660021402,-0.01744449043752902,0.015874477157364186,-0.09444309507337446,-0.0326642176768067,-0.0568566946485633,0.004922182748004461
balanced,DC,P2,8,14,-0.1715803064734725,999,-0.17248059614034825,-0.0009002896668757476,0.012663057993448945,-0.1988068281068885,-0.14873775820412546,-0.19442285474281953,-0.1443537848400565
balanced,DC,P3,12,14,-0.34047036430029454,999,-0.32004151101196776,0.020428853288326776,0.036755397050553223,-0.39027458019723743,-0.2398267920555014,-0.4411139365450877,-0.29066614840335164
balanced,EVOP,P1,5,6,0.6782538439126959,999,0.7215672023401745,0.04331335842747852,0.01998050210711549,0.684499744876208,0.762251251477187,0.5942564363482049,0.6720079429491839
